year,data
2022,200
2021,168
2020,148
2019,147
2018,114
2017,115
2016,83
2015,83
2014,84
2013,56
2012,47
2011,55
2010,35
2009,37
2008,19
2007,16
2006,23
2005,11
2004,13
2003,7
2002,7
2001,6
2000,5
1999,2
1998,7
1997,1
1996,5
1994,2
1993,1
1990,1
1978,1
