year,data
2022,6629
2021,6187
2020,5348
2019,4973
2018,4615
2017,4261
2016,3740
2015,3491
2014,3355
2013,3016
2012,2724
2011,2252
2010,1948
2009,1619
2008,1389
2007,1264
2006,1172
2005,1027
2004,830
2003,763
2002,504
2001,546
2000,495
1999,403
1998,423
1997,316
1996,269
1995,191
1994,137
1993,123
1992,86
1991,56
1990,60
1989,56
1988,47
1987,41
1986,44
1985,26
1984,34
1983,29
1982,23
1981,16
1980,15
1979,19
1978,14
1977,7
1976,10
1975,7
1974,5
1973,4
1972,3
1971,1
1970,1
