YEAR,RESULT
2022,213
2021,138
2020,44
2019,26
2018,16
2017,11
2016,20
2015,9
2014,8
2013,6
2012,11
2011,5
2010,4
2009,6
2008,1
2007,2
2006,2
2005,1
2003,1
2002,1
2001,1
