YEAR,RESULT
2023,464
2022,424
2021,329
2020,193
2019,150
2018,135
2017,88
2016,100
2015,68
2014,76
2013,48
2012,58
2011,56
2010,54
2009,43
2008,35
2007,35
2006,47
2005,45
2004,32
2003,17
2002,1
2001,3
2000,8
1999,3
1998,1
1997,4
1996,1
1995,1
1994,1
1992,1
1990,1
1989,1
1985,1
