year,mileage [miles/gallon]
1936.2288490749042, 15.288544474393529
1937.233771937851, 15.288544474393529
1938.2386948007977, 15.288544474393529
1939.2436176637445, 15.288544474393529
1940.2485405266914, 15.288544474393529
1941.253463389638, 15.182547169811318
1942.2583862525848, 15.018733153638811
1943.2633091155317, 14.941644204851748
1944.2682319784783, 14.941644204851748
1945.2731548414251, 14.941644204851748
1946.278077704372, 14.941644204851748
1947.2830005673186, 14.941644204851748
1948.2879234302654, 14.941644204851748
1949.2928462932123, 14.941644204851748
1950.297769156159, 14.941644204851748
1951.3026920191057, 14.854919137466304
1951.998859376264, 14.590421190518173
1955.3977526856138, 14.640997304582207
1957.0809984810496, 14.204481132075468
1958.0859213439965, 14.161118598382746
1959.090844206943, 14.24784366576819
1960.09576706989, 14.262297843665765
1961.1006899328368, 14.363477088948784
1962.1809820105045, 14.444420485175199
1963.1105356587302, 14.623652291105117
1964.115458521677, 14.691105121293797
1965.098662841441, 14.451012670982692
1965.8740735318338, 14.17557277628032
1966.8789963947806, 14.059939353099727
1967.8839192577273, 13.872035040431264
1968.888842120674, 13.640768194070077
1969.893764983621, 13.554043126684633
1970.8986878465676, 13.554043126684633
1971.9036107095144, 13.452863881401614
1972.9085335724612, 13.438409703504039
1973.9134564354079, 13.626314016172504
1974.9183792983547, 13.900943396226412
1975.9233021613015, 13.85758086253369
1976.9282250242481, 14.074393530997302
1977.933147887195, 14.305660377358487
1978.8124553922735, 14.575471698113203
1979.2585660090022, 15.113203138776226
1979.7336346833079, 15.693261455525603
1980.3198396866935, 16.17506738544474
1981.199147191772, 16.603874663072773
1982.2040700547186, 16.921866576819404
1983.2089929176655, 17.182041778975737
1983.9532932624181, 17.51800010076328
1985.0891143721155, 17.55285223064715
1985.9220498525603, 17.413443711111668
1986.8518382958475, 18.02520215633423
1987.6055304430577, 18.52628032345013
1988.484837948136, 18.930997304582206
1989.1129147374777, 19.220080862533692
1989.4897608110828, 19.769339622641507
1989.9922222425562, 20.37641509433962
1990.4946836740296, 20.83894878706199
1990.843941327916, 21.316882258105146
1991.6768768083607, 21.03806521903418
1992.2532986841863, 20.824494609164418
1992.9641407326844, 20.480431140892257
1993.6456333985027, 20.72439605007935
1994.2631444100798, 20.954582210242584
1995.0086187301397, 21.421438647756755
1996.144439839837, 21.142621608685793
1996.9016539129686, 21.525995037408364
1997.8860322080398, 21.665403556943847
1998.9461319104241, 21.282030128221272
2000.0414508720237, 21.92301212938005
2000.839167093253, 22.223037635085774
2001.8992667956375, 21.90936846613094
2003.056219460864, 22.110916442048513
2004.0611423238108, 22.053099730458218
2004.9281230881638, 21.97907272589868
2005.8197573339676, 22.4
