order_of_production,min,max,average
1,3.056352823,12.29212984,7.674241329
2,21.92696198,42.85794798,32.39245498
3,40.53245331,66.1143675,53.3234104
4,53.42318253,80.73308693,67.07813473
5,62.06146065,90.03555469,76.04850767
6,67.64282459,95.88260894,81.76271676
7,71.36392841,99.8699422,85.6169353
8,73.6232659,102.5277846,88.07552523
9,75.35071699,103.856703,89.60370998
10,76.28110271,105.1856214,90.73336205
11,77.34436972,105.849811,91.59709037
