order_of_production,min,max,average
1,1.727434415,7.109821032,4.418627723
2,9.966640729,19.99998888,14.98331481
3,16.61182748,28.63826701,22.62504724
4,21.52844598,34.61870831,28.07357715
5,24.85103379,38.20696421,31.528999
6,26.84469764,40.59860494,33.72165129
7,28.57214873,41.92752334,35.24983604
8,29.50199533,42.85794798,36.17997165
9,30.1667241,43.52267675,36.84470042
10,30.56525678,44.18686639,37.37606158
11,30.83091374,44.18686639,37.50889006
