order_of_production,min,max,average
1,7.308798355,20.66473433,13.98676634
2,23.52210983,45.25009449,34.38610216
3,34.818247,58.80558582,46.81191641
4,42.12706203,66.77913517,54.4530986
5,47.17708426,72.0948088,59.63594653
6,50.10115607,75.41741329,62.75928468
7,52.35991552,77.41052134,64.88521843
8,53.68887283,79.00509671,66.34698477
9,54.75210093,80.06835816,67.41022955
10,55.41629057,80.33404847,67.87516952
11,55.68246999,80.99877723,68.34062361
