x, y
4.754484008186974, 2.6820656681376676
7.227725356129607, 4.37370771183501
9.70096670407224, 5.994256333089055
12.174208052014873, 7.4527302786876675
14.489003880983184, 8.758169934640534
17.120690747900134, 9.951381528375606
19.922380336351875, 11.241830065359494
21.862871927554988, 12.026143790849673
24.54041479172803, 12.959603747916717
27.013656139670662, 13.748603280672683
29.50801624675132, 14.40233196331441
31.960138835555927, 15.163289324902294
34.43338018349856, 15.840726300126192
36.90662153144119, 16.494758543000742
39.37986287938382, 17.03943534127984
41.853104227326455, 17.71180462516884
44.32634557526909, 18.294322408086913
46.79958692321172, 18.87944071682152
49.27282827115435, 19.481152205196537
52.00517464424321, 20.13071895424838
54.59249676584736, 20.784313725490193
57.4385510996119, 21.30718954248367
61.6390350108675, 21.923356185150155
64.11227635881013, 22.355043470705496
66.58551770675277, 22.78152970462766
69.59896507115135, 23.267973856209167
73.35058214747737, 23.790849673202615
76.4784830985233, 24.219620481206647
78.91332470892627, 24.575163398692823
81.3712807244502, 24.836601307189554
83.8982071423512, 25.16881240426511
86.37144849029383, 25.456170506999243
88.84468983823646, 25.7227244032006
91.3179311861791, 25.893058844187806
93.53169469598966, 26.274509803921575
96.26441388206436, 26.42460632110054
98.737655230007, 26.799515459660157
101.21089657794963, 27.134809921613595
103.68413792589226, 27.426068813072632
106.15737927383489, 27.72122849325656
108.63062062177752, 27.994097952155357
111.10386196972014, 28.344889889377058
113.58344113842173, 28.627450980392155
117.07632600258734, 29.019607843137265
121.34540750323416, 29.542483660130728
123.47006870943332, 29.83545598215116
125.94331005737595, 29.987586742422167
128.33117723156533, 30.32679738562092
131.69469598965074, 30.718954248366018
135.44631306597674, 31.24183006535948
138.16300129366107, 31.372549019607845
140.78275814503172, 31.55050275819788
143.25599949297435, 31.84436217547352
145.729240840917, 32.014696616460725
148.20248218885962, 32.20063421234751
149.8059508408797, 32.418300653594784
