gdp,traffic
27.80193436,16.2178448
27.86295776,16.35160862
27.89956841,16.42392766
27.97686132,16.49262697
28.06229748,16.6444894
28.1273925,16.77104395
28.20063076,16.86143143
28.25351092,17.0168985
28.31047967,17.07113401
28.38777259,17.08197809
28.47320874,17.19406883
28.53830376,17.29892012
28.60339878,17.44355819
28.68476332,17.58456145
28.7742711,17.76173178
28.8352945,17.68218838
28.89224628,17.8557239
28.96953919,17.94250674
29.07126183,18.12329679
29.1729675,18.22454344
29.27060155,18.35470262
29.36010932,18.51378942
29.44147386,18.57524929
29.50656888,18.54632167
29.51471212,18.53547759
29.5716639,18.5246335
29.64083054,18.62948479
29.70185394,18.74518017
29.77100362,18.82834329
29.85238512,18.83920245
29.93374966,19.16460041
30.02325743,19.25138325
30.12089148,19.35261482
30.23074039,19.47554964
30.30803331,19.49723781
30.37719995,19.62741207
30.46670772,19.8985896
30.54400064,20.00344089
30.61316728,20.09020865
30.6782623,20.19507502
,
,
,
,
