gdp,traffic
28.24132999,16.70971982
28.30642502,16.77119477
28.38982536,16.90135395
28.47933314,16.99175651
28.54035654,17.14360386
28.58918205,17.26655377
28.65020545,17.37502478
28.69495933,17.46539718
28.74376788,17.57386819
28.80480824,17.71850626
28.86379584,17.78719049
28.88006535,17.77636149
28.88006535,17.80166938
28.85361679,17.80166938
28.88820859,17.81611811
28.92889086,17.84866544
28.96346569,17.92458912
28.99398588,17.94627729
29.00414796,17.93182856
29.01636282,18.01499168
29.01634586,17.98606407
29.04279442,17.96796546
29.06517136,17.97882462
29.09161993,18.02220096
29.13637382,18.0981548
29.14450009,18.08367591
29.17909189,18.15236015
29.22384578,18.24276271
29.23807948,18.29699822
29.24622272,18.32230611
29.28690499,18.35123372
29.29503127,18.41270867
29.30317451,18.38016134
29.32147983,18.34399428
29.37843161,18.41991795
29.41911388,18.4813929
29.47201101,18.51032052
29.52489117,18.58986392
29.56355459,18.69471521
29.54726811,18.74895071
29.60423686,18.98396118
29.64288332,19.07798347
29.66933188,19.16838603
29.69576348,19.23707027
