gdp,traffic
30.15144135,19.41432324
30.18805183,19.47938805
30.24093216,19.57341064
30.30197236,19.66019288
30.31009863,19.6891211
30.31417059,19.68909063
30.35892448,19.76142505
30.39960641,19.84096815
30.44028885,19.9566786
30.47689933,20.06514992
30.48504274,20.0362217
30.50538404,20.01450337
30.50538404,20.02898256
30.53792307,20.07959774
30.58267695,20.15190199
30.62335888,20.22420594
30.65184343,20.29654036
30.6884539,20.36884432
30.73727975,20.4194604
30.77389023,20.45562686
30.79830298,20.49176345
30.80644639,20.46283644
30.83084201,20.51348179
30.84712832,20.53517086
30.8755959,20.61471396
30.90407993,20.66532914
30.93661947,20.73763309
30.96917512,20.77380045
30.99765984,20.77380045
31.03427031,20.8461044
31.07088079,20.91119877
31.08715048,20.87503262
31.10341965,20.83886526
31.12377809,20.86055343
31.15631712,20.95457572
31.18480166,21.01243095
31.21326873,21.04135796
31.23768148,21.0847349
31.23768148,21.05580698
31.20514246,21.02687967
31.23361003,21.10642307
31.24582489,21.12811094
31.25802262,21.14979911
31.27429247,21.17151744
