gdp,traffic
27.31780197,15.15851798
27.36662731,15.29591631
27.49274573,15.44776366
27.54562572,15.62132904
27.61072091,15.80934375
27.64327708,16.01904603
27.76125209,16.17089429
27.79786274,16.30829261
27.77346695,16.4023152
27.78159322,16.39507515
27.74905437,16.44569094
27.72871306,16.48906697
27.81007777,16.56861128
27.89551375,16.68432173
27.93212457,16.73493661
27.97687846,16.72045833
27.94026764,16.71324874
27.94839409,16.76386483
27.9443223,16.7855527
27.97687846,16.82892873
28.04197331,16.87954482
28.11112299,16.80000172
28.1477506,16.8650961
28.14367915,16.81448091
28.16809173,16.87230568
28.19248735,16.93016091
28.24538465,17.01694314
28.27792368,17.15434268
28.31455129,17.10372659
28.35116177,17.10369612
28.38777276,17.13262434
28.42032875,17.40742099
28.46913712,17.15431221
28.53016069,17.36404495
28.57898603,17.27726181
28.62781137,17.29894968
28.6806917,17.3929427
28.74578672,17.44355789
28.78646916,17.43634921
28.82309677,17.50141311
28.86783353,17.81958671
28.8556358,17.79789884
28.86783353,17.79065969
28.86783353,17.8340659
