gdp,traffic
27.50083808,15.44017793
27.51710759,15.36063362
27.51710759,15.4257289
27.54964662,15.498033
27.56591613,15.47634453
27.64322593,15.70051107
27.66356706,15.89574999
27.72459046,16.02590918
27.78154224,16.17054679
27.75306627,16.24285075
27.81815289,16.28624247
27.87918486,16.38748927
27.91987561,16.48872039
27.98496215,16.56102449
28.0256529,16.64056774
28.08260477,16.71288692
28.12735866,16.77072692
28.17616711,16.83582174
28.26160318,16.90812539
28.31857193,16.89366174
28.37145226,16.80689428
28.38772169,16.79965514
28.44061873,16.85751021
28.48130117,16.75626341
28.54639611,16.87919823
28.61556283,17.00211782
28.6806492,16.96596599
28.7172685,17.11058868
28.77014867,17.11058868
28.8311719,17.10334954
28.86779951,17.14674081
28.91253652,17.16120476
28.94916413,17.10334954
29.02238526,17.19735689
29.09562377,17.3853713
29.18105984,17.52276963
29.26242446,17.81925535
29.34786053,18.02173296
29.38447127,17.98556666
29.45363791,18.04342189
29.54314568,18.21697234
29.60009729,18.36159457
29.64485118,18.34713152
29.69365981,18.36159457
